x,y,z,target,amplitude,timestamp
37.7448243285,72.4215442411,79.8849055007,1,7.61848288655e-05,1560997461.48
35.9764877009,73.1809108561,80.5756399499,1,7.65297717792e-05,1560997464.17
38.2512224526,72.9785825724,79.948435576,1,8.02391441902e-05,1560997466.87
37.5813804774,72.0128538987,80.3619103955,1,7.23455565633e-05,1560997469.56
36.3461779725,73.458704626,79.431534873,1,7.38155865729e-05,1560997472.26
39.0768387324,73.6269231884,77.361693787,1,7.25094834415e-05,1560997474.95
34.8789485728,73.848345952,79.4475142781,1,7.25503311687e-05,1560997477.64
37.4553412041,72.5392384384,80.1585071117,1,7.3956546399e-05,1560997480.34
36.863957988,73.0243310224,80.2448992228,1,7.24502497844e-05,1560997483.04
39.1279136358,73.2669254505,78.4693984454,1,7.55127401679e-05,1560997485.73
35.6171748537,73.2376075875,79.9433618696,1,7.95583240357e-05,1560997488.44
37.8974497572,73.4184838316,78.3656054935,1,7.62007513791e-05,1560997491.12
38.9713913066,73.369505446,78.0774116998,1,7.24294772824e-05,1560997493.83
39.2275658975,72.9601025481,78.1192445794,1,7.42651563552e-05,1560997496.52
36.4099923409,73.3068080077,79.9460169162,1,7.70247135899e-05,1560997499.23
38.62768704,73.74624248,77.761963704,1,7.10013328113e-05,1560997501.92
35.7841950829,73.8543466204,79.249894939,1,6.89054474534e-05,1560997504.61
38.1718407556,72.6968988139,78.9958961253,1,7.19562337407e-05,1560997507.29
39.0401873894,74.5812106431,76.4004951908,1,7.17274178473e-05,1560997510.0
36.6425359115,72.9410615496,79.6133687833,1,7.69870996695e-05,1560997512.69
38.9987494378,74.1049055981,77.4625214743,1,7.32070447696e-05,1560997515.39
38.4860616003,73.797150295,77.3192230108,1,7.04579086235e-05,1560997518.08
35.3830482726,72.7438792773,79.2139498166,1,7.56137434942e-05,1560997520.77
35.240125293,73.6336470859,79.1659639595,1,7.31030572633e-05,1560997523.46
39.7616803846,72.8824772745,77.8541997105,1,7.39291201553e-05,1560997526.14
36.3679950025,72.9307505907,79.8072830274,1,7.46757023455e-05,1560997528.83
38.307226528,74.0941392561,78.1445399426,1,7.57537016541e-05,1560997531.52
39.7683407467,73.4790664123,77.5556276198,1,7.78988843972e-05,1560997534.21
36.9071317278,73.0787541885,79.0524867361,1,7.44307685917e-05,1560997536.9
37.0577600455,71.5537233595,80.5774098095,1,7.18870705995e-05,1560997539.59
38.9933669768,72.3323347012,78.905032918,1,7.75149923309e-05,1560997542.28
37.439189999,74.2001940134,77.3084146787,1,6.84508957131e-05,1560997544.97
37.9163203161,74.4302086058,77.9383718609,1,7.69196800569e-05,1560997547.68
37.4207817799,74.0432845905,78.1256142396,1,7.74111260185e-05,1560997550.37
38.0516286622,74.8722187057,76.6749696601,1,6.5876570616e-05,1560997553.06
36.322698478,75.1640919619,76.2311745796,1,7.88810520701e-05,1560997555.75
40.6870950996,72.8296916901,77.3564343734,1,6.87315048143e-05,1560997558.44
40.1462747329,73.7360759759,76.694551021,1,7.24352311111e-05,1560997561.13
37.4254147937,74.3855528989,76.7542367601,1,7.6334802431e-05,1560997563.82
37.9079797684,74.7216333767,76.3260779013,1,7.13047930183e-05,1560997566.51
40.2922205082,73.5078882071,76.9978170874,1,7.24075855132e-05,1560997569.2
39.1546605733,71.7996833167,79.1161026836,1,7.43917713033e-05,1560997571.89
37.8817219461,74.1478818167,76.6955003447,1,7.4996469849e-05,1560997574.58
38.7233368463,73.7346765194,77.5084642045,1,7.40387501358e-05,1560997577.27
38.9498410896,74.1190167172,76.2269513408,1,7.04822096067e-05,1560997579.96
39.3946248831,71.2695132392,79.5802141875,1,7.6878480031e-05,1560997582.65
38.8943201414,74.4559141164,76.64922489,1,7.78716922915e-05,1560997585.33
39.6890852138,73.0536995775,77.3739615924,1,7.83925970706e-05,1560997588.02
39.0678842148,72.7552855623,78.6541881028,1,7.57758191815e-05,1560997590.71
38.6518070252,74.5169030345,75.900399494,1,7.17385991429e-05,1560997593.4
41.5333187739,73.0101052344,76.9571005178,1,6.77192057057e-05,1560997596.09
41.1395890815,72.7775300576,77.1890634733,1,7.38506875438e-05,1560997598.78
41.7101051138,72.5930120773,77.1386877555,1,7.44412797119e-05,1560997601.47
38.2506417482,74.4288397161,76.8983209722,1,7.54757683278e-05,1560997604.16
39.8513593079,71.7602278992,78.9759930666,1,7.38522183073e-05,1560997606.84
39.9828439866,73.5662324037,76.5673061535,1,6.80722810211e-05,1560997609.53
40.0617323284,73.3760848399,76.6620507182,1,7.0594184652e-05,1560997612.22
41.2346098743,73.8364438326,76.3654902328,1,7.07294068126e-05,1560997614.91
38.8209742611,74.2882827685,76.0770091116,1,6.79485071435e-05,1560997617.6
39.637385012,73.4550902084,76.9766517294,1,7.06928965506e-05,1560997620.3
40.7938470573,73.3584982588,76.655827115,1,7.92009390398e-05,1560997622.98
38.149605112,72.9618087359,79.1792460453,1,7.54353563163e-05,1560997625.67
40.7943805549,72.6974504517,77.303420814,1,7.17318055725e-05,1560997628.36
37.7216153596,72.8670303659,79.1300302253,1,7.33623615188e-05,1560997631.05
40.7506979982,74.376542401,75.9016358503,1,7.33598942166e-05,1560997633.74
38.5421238835,75.3456407838,75.5096966582,1,7.27491643788e-05,1560997636.43
39.77580889,74.5709948484,75.8318059458,1,7.0213578506e-05,1560997639.12
41.6051577274,73.3229788404,76.4742530594,1,7.07000525041e-05,1560997641.81
42.1924887555,74.7858632691,74.3334842934,1,7.83435892352e-05,1560997644.5
39.1626950982,74.357601644,76.4469762426,1,7.1196553125e-05,1560997647.19
39.345981571,73.9420688503,76.5454716598,1,7.45437877331e-05,1560997649.87
38.5187160628,74.0259918501,76.5578355175,1,7.16671073967e-05,1560997652.56
40.262014237,75.0248143746,75.6894465937,1,7.3541475114e-05,1560997655.26
41.7483416393,73.7102993385,76.0427165824,1,6.97450397392e-05,1560997657.94
38.7810106178,73.0738541982,78.4810440197,1,7.26822986746e-05,1560997660.63
40.5841611581,75.5513649762,74.6514090832,1,6.86452655749e-05,1560997663.33
48.0875690382,76.9301484271,69.248947998,1,6.87816966485e-05,1560997666.02
42.4502845192,72.4642372166,76.7587509229,1,6.94054649082e-05,1560997668.71
39.6253857099,74.2517306857,75.7417128781,1,7.24798248358e-05,1560997671.4
40.4587826716,72.3514776213,78.2309573649,1,6.64366226044e-05,1560997674.09
42.2918402141,72.7405360853,76.7958524547,1,7.59695190869e-05,1560997676.78
40.3355492911,71.7099259717,78.9935547494,1,7.26298547862e-05,1560997679.5
39.7199849459,73.2523534287,76.6811048814,1,7.10708922921e-05,1560997682.19
47.7367330158,77.8152579843,68.4527679696,1,7.79305558749e-05,1560997684.88
